"urdu","roman"
"انکہ سی دور نہ ہو دل سی اتر جائی گا","aankh se duur na ho dil se utar jaega"
"وقت کا کیا ہی گزرتا ہی گزر جائی گا","vaqt ka kya hai guzarta hai guzar jaega"
"اتنا مانوس نہ ہو خلوت غم سی اپنی","itna manus na ho khalvategham se apni"
"تو کبہی خود کو بہی دیکہی گا تو ڈر جائی گا","tu kabhi khud ko bhi dekhega to dar jaega"
"ڈوبتی ڈوبتی کشتی کو اچہالا دی دوں","dubte dubte kashti ko uchhala de duun"
"میں نہیں کوئی تو ساحل پہ اتر جائی گا","main nahin koi to sahil pe utar jaega"
"زندگی تیری عطا ہی تو یہ جانی والا","zindagi teri ata hai to ye jaane vaala"
"تیری بخشش تری دہلیز پہ دہر جائی گا","teri bakhshish tiri dahliz pe dhar jaega"
"ضبط لازم ہی مگر دکہ ہی قیامت کا فرازؔ","zabt lazim hai magar dukh hai qayamat ka faraz"
"ظالم اب کی بہی نہ روئی گا تو مر جائی گا","zalim ab ke bhi na roega to mar jaega"
"عاشقی میں میرؔ جیسی خواب مت دیکہا کرو","ashiqi men mir jaise khvab mat dekha karo"
"باؤلی ہو جاؤ گی مہتاب مت دیکہا کرو","bavle ho jaoge mahtab mat dekha karo"
"جستہ جستہ پڑہ لیا کرنا مضامین وفا","jasta jasta padh liya karna mazaminevafa"
"پر کتاب عشق کا ہر باب مت دیکہا کرو","par kitabeishq ka har baab mat dekha karo"
"اس تماشی میں الٹ جاتی ہیں اکثر کشتیاں","is tamashe men ulat jaati hain aksar kashtiyan"
"ڈوبنی والوں کو زیر اب مت دیکہا کرو","dubne valon ko zereab mat dekha karo"
"می کدی میں کیا تکلف می کشی میں کیا حجاب","maikade men kya takalluf maikashi men kya hijab"
"بزم ساقی میں ادب اداب مت دیکہا کرو","bazmesaqi men adab adab mat dekha karo"
"ہم سی درویشوں کی گہر اؤ تو یاروں کی طرح","ham se durveshon ke ghar aao to yaron ki tarah"
"ہر جگہ خس خانہ و برفاب مت دیکہا کرو","har jagah khaskhana o barfab mat dekha karo"
"مانگی تانگی کی قبائیں دیر تک رہتی نہیں","mangetange ki qabaen der tak rahti nahin"
"یار لوگوں کی لقب القاب مت دیکہا کرو","yaar logon ke laqabalqab mat dekha karo"
"تشنگی میں لب بہگو لینا بہی کافی ہی فرازؔ","tishnagi men lab bhigo lena bhi kaafi hai faraz"
"جام میں صہبا ہی یا زہراب مت دیکہا کرو","jaam men sahba hai ya zahrab mat dekha karo"
"اب اور کیا کسی سی مراسم بڑہائیں ہم","ab aur kya kisi se marasim badhaen ham"
"یہ بہی بہت ہی تجہ کو اگر بہول جائیں ہم","ye bhi bahut hai tujh ko agar bhuul jaaen ham"
"صحرائی زندگی میں کوئی دوسرا نہ تہا","sahraezindagi men koi dusra na tha"
"سنتی رہی ہیں اپ ہی اپنی صدائیں ہم","sunte rahe hain aap hi apni sadaen ham"
"اس زندگی میں اتنی فراغت کسی نصیب","is zindagi men itni faraghat kise nasib"
"اتنا نہ یاد ا کہ تجہی بہول جائیں ہم","itna na yaad aa ki tujhe bhuul jaaen ham"
"تو اتنی دل زدہ تو نہ تہی ای شب فراق","tu itni dilzada to na thi ai shabefiraq"
"ا تیری راستی میں ستاری لٹائیں ہم","aa tere raste men sitare lutaen ham"
"وہ لوگ اب کہاں ہیں جو کہتی تہی کل فرازؔ","vo log ab kahan hain jo kahte the kal faraz"
"ہی ہی خدا نہ کردہ تجہی بہی رلائیں ہم","he he khudanakarda tujhe bhi rulaen ham"
"اب کی ہم بچہڑی تو شاید کبہی خوابوں میں ملیں","ab ke ham bichhde to shayad kabhi khvabon men milen"
"جس طرح سوکہی ہوئی پہول کتابوں میں ملیں","jis tarah sukhe hue phuul kitabon men milen"
"ڈہونڈ اجڑی ہوئی لوگوں میں وفا کی موتی","dhundh ujde hue logon men vafa ke moti"
"یہ خزانی تجہی ممکن ہی خرابوں میں ملیں","ye khazane tujhe mumkin hai kharabon men milen"
"غم دنیا بہی غم یار میں شامل کر لو","ghameduniya bhi ghameyar men shamil kar lo"
"نشہ بڑہتا ہی شرابیں جو شرابوں میں ملیں","nashsha badhta hai sharaben jo sharabon men milen"
"تو خدا ہی نہ مرا عشق فرشتوں جیسا","tu khuda hai na mira ishq farishton jaisa"
"دونوں انساں ہیں تو کیوں اتنی حجابوں میں ملیں","donon insan hain to kyuun itne hijabon men milen"
"اج ہم دار پہ کہینچی گئی جن باتوں پر","aaj ham daar pe khinche gae jin baton par"
"کیا عجب کل وہ زمانی کو نصابوں میں ملیں","kya ajab kal vo zamane ko nisabon men milen"
"اب نہ وہ میں نہ وہ تو ہی نہ وہ ماضی ہی فرازؔ","ab na vo main na vo tu hai na vo maazi hai faraz"
"جیسی دو شخص تمنا کی سرابوں میں ملیں","jaise do shakhs tamanna ke sarabon men milen"
"اب کی تجدید وفا کا نہیں امکاں جاناں","ab ke tajdidevafa ka nahin imkan janan"
"یاد کیا تجہ کو دلائیں ترا پیماں جاناں","yaad kya tujh ko dilaen tira paiman janan"
"یوں ہی موسم کی ادا دیکہ کی یاد ایا ہی","yunhi mausam ki ada dekh ke yaad aaya hai"
"کس قدر جلد بدل جاتی ہیں انساں جاناں","kis qadar jald badal jaate hain insan janan"
"زندگی تیری عطا تہی سو تری نام کی ہی","zindagi teri ata thi so tire naam ki hai"
"ہم نی جیسی بہی بسر کی ترا احساں جاناں","ham ne jaise bhi basar ki tira ehsan janan"
"دل یہ کہتا ہی کہ شاید ہی فسردہ تو بہی","dil ye kahta hai ki shayad hai fasurda tu bhi"
"دل کی کیا بات کریں دل تو ہی ناداں جاناں","dil ki kya baat karen dil to hai nadan janan"
"اول اول کی محبت کی نشی یاد تو کر","avval avval ki mohabbat ke nashe yaad to kar"
"بی پیی بہی ترا چہرہ تہا گلستاں جاناں","bepiye bhi tira chehra tha gulistan janan"
